GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,1600000US5101000,5101000,United States - Virginia - Alexandria city,Alexandria city,139966(r49754),72376(r25674),15.47,0.44,15.03,9314.3,4816.4
0100000US,,United States,1600000US5103000,5103000,United States - Virginia - Arlington CDP,Arlington CDP,207627,105404,26.07,0.09,25.97,7993.5,4058.0
0100000US,,United States,1600000US5114440,5114440,United States - Virginia - Centreville CDP,Centreville CDP,71135,25516,12.04,0.12,11.92,5965.3,2139.7
0100000US,,United States,1600000US5116000,5116000,United States - Virginia - Chesapeake city,Chesapeake city,222209,83196,350.86,10.06,340.80,652.0,244.1
0100000US,,United States,1600000US5121088,5121088,United States - Virginia - Dale City CDP,Dale City CDP,65969,20922,14.25,0.02,14.23,4635.1,1470.0
0100000US,,United States,1600000US5135000,5135000,United States - Virginia - Hampton city,Hampton city,137436(r49758),59566(r25676),136.30,84.89,51.41,2673.2,1158.6
0100000US,,United States,1600000US5147672,5147672,United States - Virginia - Lynchburg city,Lynchburg city,75568,31992,49.65,0.52,49.13,1538.2,651.2
0100000US,,United States,1600000US5156000,5156000,United States - Virginia - Newport News city,Newport News city,180719(r49760),76198(r25678),119.48,50.76,68.71,2630.0,1108.9
0100000US,,United States,1600000US5157000,5157000,United States - Virginia - Norfolk city,Norfolk city,242803,95018,96.35,42.23,54.12,4486.3,1755.7
0100000US,,United States,1600000US5164000,5164000,United States - Virginia - Portsmouth city,Portsmouth city,95535,40806,46.73,13.08,33.65,2838.9,1212.6
0100000US,,United States,1600000US5166672,5166672,United States - Virginia - Reston CDP,Reston CDP,58404,26787,15.66,0.33,15.33,3809.9,1747.4
0100000US,,United States,1600000US5167000,5167000,United States - Virginia - Richmond city,Richmond city,204214,98349,62.46,2.66,59.81,3414.7,1644.5
0100000US,,United States,1600000US5168000,5168000,United States - Virginia - Roanoke city,Roanoke city,97032,47453,42.90,0.34,42.56,2279.8,1114.9
